num_str,league_abb,time,home,home_rank,away,away_rank,in_sale,started,had_h,had_d,had_a,hhad_gl,hhad_h,hhad_d,hhad_a
周二001,亚冠精英,18:00:00,叻武里,[East15],上海海港,[East4],True,False,2.55,3.35,2.28,1.0,1.48,4.15,4.7
周二002,亚冠精英,18:00:00,大田市民,[East5],京都,[East14],True,False,1.93,3.35,3.2,-1.0,3.9,3.62,1.68
周二003,亚运男足,18:30:00,卡塔尔亚,,韩国亚,,True,False,12.5,5.8,1.14,2.0,2.05,3.95,2.58
周二004,亚冠精英,20:15:00,柔佛,[East8],布里兰,[East1],True,False,1.52,3.9,4.65,-1.0,2.65,3.45,2.17
周二005,亚冠精英,20:15:00,北京国安,[East10],浦项制铁,[East11],True,False,1.7,3.5,3.92,-1.0,3.2,3.45,1.9
周二006,亚冠精英,00:00:00,阿布艾因,[West9],利雅胜利,[West12],True,False,3.8,3.9,1.64,1.0,1.99,3.65,2.83
周二007,西甲,01:00:00,巴列卡诺,[西甲16],西班牙人,[西甲8],True,False,2.1,3.1,3.03,-1.0,4.5,3.75,1.56
周二008,西甲,02:00:00,阿拉维斯,[西甲4],巴伦西亚,[西甲20],True,False,1.67,3.2,4.6,-1.0,3.3,3.25,1.93
周二009,荷甲,02:00:00,阿贾克斯,[荷甲5],威廉二世,[荷甲17],True,False,,,,-2.0,1.82,4.42,2.83
周二010,英冠,02:45:00,米堡,[英冠4],米尔沃尔,[英冠13],True,False,1.44,4.15,5.15,-1.0,2.3,3.6,2.4
周二011,英联赛杯,03:00:00,利物浦,,热刺,,True,False,1.62,3.82,4.0,-1.0,2.78,3.65,2.02
周二012,英联赛杯,03:00:00,伊普斯,,阿森纳,,True,False,6.8,4.45,1.32,1.0,2.8,3.65,2.01
周二013,西甲,03:30:00,埃尔切,[西甲19],皇马,[西甲2],True,False,,,,2.0,2.25,4.25,2.23
周二014,解放者杯,06:00:00,普拉滕斯,[解放者杯2],弗鲁米嫩,[解放者杯2],True,False,2.35,2.85,2.83,-1.0,5.85,3.65,1.46
